Sl No,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
227,Gujarat,2007,55808,29219,26590,52356.293,47645.49885,246390,441495.8429,660,1182.626147,1644,2945.81422,988,1770.355505,16044,28748.56651,9740,17452.69495,9662,17312.93005,2232,3999.426606,572,1024.942661,2278,4081.852064,11654,20882.31078,42,75.25802752,0,0,490,878.0103211,84,150.516055,21978,39381.45069,0,0,240,430.0458716,2624,4701.834862,446,799.168578,2178,3902.666284,2332,4178.612385,632,1132.454128,20284,36346.04358,20,35.83715596,632,1132.454128,3336,5977.637615,2190,3924.168578,36328,65094.61009,136664,244882.4541
228,Haryana,2007,23743,12807,10936,53940.10866,46059.89134,103194,434629.1539,284,1196.142021,834,3512.614244,1184,4986.732932,12998,54744.55629,8462,35639.9781,3090,13014.36213,2464,10377.79556,66,277.9766668,1452,6115.48667,4824,20317.56728,144,606.4945458,0,0,278,1170.871415,538,2265.931011,10062,42378.80639,0,0,818,3445.225961,1602,6747.251822,494,2080.613233,1108,4666.638588,1822,7673.840711,976,4110.685255,9096,38310.23881,532,2240.660405,976,4110.685255,2346,9880.806975,1004,4228.61475,22094,93054.7951,38318,161386.5139
229,Himachal Pradesh,2007,6526,3327,3199,50980.69261,49019.30739,28444,435856.5737,282,4321.176831,644,9868.21943,114,1746.858719,528,8090.714067,1754,26877.10696,1194,18296.04658,424,6497.088569,22,337.1130861,264,4045.357033,684,10481.15231,18,275.8197977,0,0,10,153.233221,16,245.1731535,2636,40392.27705,0,0,66,1011.339258,342,5240.576157,42,643.579528,300,4596.996629,254,3892.123812,318,4872.816427,1656,25375.42139,0,0,318,4872.816427,1298,19889.67208,46,704.8728164,2184,33466.13546,15874,243242.415
230,India,2007,1128521,584019,544501,51750.8314,48249.07999,3979346,352616.0346,18048,1599.261334,77468,6864.559897,54802,4856.090405,200510,17767.50278,182436,16165.93754,173580,15381.19362,130652,11577.27681,4408,390.5997319,31062,2752.452103,151860,13456.55065,7288,645.8010086,2,0.177223109,9158,811.5046153,16186,1434.26662,546134,48393.78266,122,10.81060964,21900,1940.593042,55122,4884.446102,14290,1266.259113,40832,3618.18699,64636,5727.496431,41472,3674.898385,369576,32748.70383,6410,568.0000638,41474,3675.075608,119830,10618.32257,38272,3391.341411,570086,50516.20661,1658412,146954.4652
231,Jammu & Kashmir,2007,11099,5834,5265,52563.29399,47436.70601,42886,386395.1707,372,3351.653302,1972,17767.36643,1338,12055.1401,1028,9262.095684,2920,26308.67646,486,4378.772862,978,8811.604649,62,558.6088837,242,2180.376611,352,3171.456888,46,414.4517524,0,0,36,324.3535454,18,162.1767727,748,6739.345887,0,0,706,6360.933417,1516,13658.88819,102,919.0017119,1414,12739.88648,636,5730.245968,576,5189.656726,3144,28326.8763,0,0,576,5189.656726,2418,21785.74646,222,2000.180196,4172,37588.97198,23070,207856.5637
232,Jharkhand,2007,29745,15316,14429,51491.00689,48508.99311,76978,258793.0745,320,1075.811061,684,2299.546142,2152,7234.829383,3568,11995.29333,2990,10052.1096,2038,6851.571693,1628,5473.188771,38,127.7525635,896,3012.27097,1602,5385.779123,184,618.5913599,0,0,1048,3523.281224,606,2037.317196,7566,25436.20777,0,0,30,100.8572869,1524,5123.550177,456,1533.030761,1068,3590.519415,3234,10872.41553,1710,5748.865356,10614,35683.30812,80,268.9527652,1710,5748.865356,5130,17246.59607,1542,5184.064549,14182,47678.60145,27794,93440.91444
233,Karnataka,2007,56909,28894,28015,50772.28558,49227.71442,241212,423855.6292,524,920.768244,3656,6424.291413,2502,4396.492646,11774,20689.17043,10898,19149.87085,1028,1806.392662,7200,12651.7774,248,435.7834437,800,1405.753044,5014,8810.557205,110,193.2910436,2,3.514382611,356,625.5601047,502,882.1100353,37926,66643.23745,0,0,56,98.4027131,1360,2389.780175,580,1019.170957,780,1370.609218,3076,5405.120455,870,1528.756436,16928,29745.73442,484,850.4805918,872,1532.270818,11566,20323.67464,2626,4614.384368,28702,50434.90485,121706,213860.725
234,Kerala,2007,33535,16329,17206,48692.41091,51307.58909,217060,647264.0525,796,2373.639481,5248,15649.3216,804,2397.495154,4226,12601.75936,8200,24452.06501,118,351.8711794,8430,25137.91561,108,322.0515879,788,2349.783808,7998,23849.70926,184,548.6804831,0,0,242,721.6341136,54,161.0257939,37950,113165.3496,0,0,524,1562.546593,510,1520.799165,156,465.185627,354,1055.613538,734,2188.758014,1024,3053.526167,6992,20849.85836,314,936.3351722,1024,3053.526167,14716,43882.51081,1738,5182.644998,11218,33451.61771,115362,344004.7711
235,Lakshadweep,2007,73,37,37,50684.93151,50684.93151,112,153424.6575,0,0,4,5479.452055,4,5479.452055,4,5479.452055,4,5479.452055,0,0,0,0,0,0,0,0,4,5479.452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2739.726027,36,49315.06849,0,0,2,2739.726027,2,2739.726027,0,0,40,54794.52055,52,71232.87671
236,Madhya Pradesh,2007,67569,35237,32332,52149.65443,47850.34557,404772,599049.8601,1818,2690.58296,13544,20044.69505,4846,7171.927955,17830,26387.84058,22460,33240.09531,11508,17031.47893,3322,4916.455771,76,112.4776155,1062,1571.726679,6588,9750.033299,310,458.7902736,0,0,286,423.2710267,1484,2196.273439,73286,108460.9806,0,0,1560,2308.751054,1844,2729.062144,442,654.1461321,1402,2074.916012,4488,6642.099187,6020,8909.41112,26962,39902.91406,218,322.6331602,6020,8909.41112,5296,7837.913836,3950,5845.876067,44792,66290.75464,196014,290094.57
237,Maharashtra,2007,106386,55470,50916,52140.31921,47859.68079,391414,367918.7111,2534,2381.892354,6612,6215.103491,3230,3036.113774,27790,26121.85814,31214,29340.32673,23892,22457.8422,12470,11721.46711,540,507.5855846,3430,3224.108435,14712,13828.88726,226,212.4339669,0,0,1432,1346.041772,872,819.6567217,59244,55687.77847,0,0,2078,1953.264527,2624,2466.489952,690,648.5815803,1934,1817.908371,5386,5062.696219,2902,2727.80253,67572,63515.87615,810,761.3783769,2902,2727.80253,15986,15026.41325,5540,5207.452108,95362,89637.73429,100318,94296.24199
238,Manipur,2007,2336,1179,1157,50470.89041,49529.10959,6518,279023.9726,126,5393.835616,140,5993.150685,754,32277.39726,300,12842.46575,140,5993.150685,2,85.61643836,186,7962.328767,8,342.4657534,38,1626.712329,30,1284.246575,4,171.2328767,0,0,6,256.8493151,0,0,754,32277.39726,0,0,0,0,300,12842.46575,134,5736.30137,166,7106.164384,480,20547.94521,40,1712.328767,608,26027.39726,292,12500,40,1712.328767,140,5993.150685,22,941.7808219,908,38869.86301,2148,91952.05479
239,Meghalaya,2007,2500,1266,1234,50640,49360,4158,166320,72,2880,90,3600,98,3920,182,7280,406,16240,136,5440,328,13120,24,960,34,1360,38,1520,16,640,0,0,110,4400,4,160,248,9920,0,0,2,80,104,4160,60,2400,44,1760,228,9120,164,6560,818,32720,2,80,164,6560,66,2640,112,4480,1000,40000,876,35040
240,Mizoram,2007,958,494,464,51565.762,48434.238,4166,434864.3006,76,7933.194154,132,13778.70564,42,4384.133612,128,13361.1691,914,95407.09812,68,7098.121086,132,13778.70564,32,3340.292276,40,4175.365344,4,417.5365344,8,835.0730689,0,0,0,0,0,0,170,17745.30271,0,0,0,0,8,835.0730689,8,835.0730689,0,0,86,8977.035491,166,17327.76618,1488,155323.5908,0,0,166,17327.76618,2,208.7682672,10,1043.841336,1616,168684.7599,660,68893.52818
241,Nagaland,2007,2145,1127,1019,52540.79254,47505.82751,2360,110023.31,10,466.2004662,16,745.9207459,100,4662.004662,388,18088.57809,236,11002.331,86,4009.324009,68,3170.16317,16,745.9207459,26,1212.121212,0,0,16,745.9207459,0,0,14,652.6806527,0,0,104,4848.484848,0,0,2,93.24009324,34,1585.081585,22,1025.641026,12,559.4405594,222,10349.65035,26,1212.121212,332,15477.85548,0,0,26,1212.121212,30,1398.601399,150,6993.006993,720,33566.43357,484,22564.10256
242,Odisha,2007,39276,19883,19393,50623.79061,49376.20939,109744,279417.456,822,2092.881149,5550,14130.76688,2210,5626.845911,3466,8824.727569,6146,15648.23302,7542,19202.56645,2526,6431.408494,60,152.7650474,638,1624.40167,1456,3707.098483,44,112.0277014,0,0,494,1257.765557,922,2347.489561,14956,38079.23414,0,0,482,1227.212547,1602,4078.826764,282,717.9957226,1320,3360.831042,2420,6161.523577,1878,4781.545982,10194,25954.78155,84,213.8710663,1878,4781.545982,3966,10097.76963,2546,6482.330176,13660,34779.50911,39740,101181.383
243,Puducherry,2007,1146,579,567,50523.56021,49476.43979,10108,882024.4328,36,3141.361257,178,15532.28621,84,7329.842932,996,86910.99476,172,15008.726,534,46596.85864,90,7853.403141,2,174.5200698,12,1047.120419,34,2966.841187,4,349.0401396,0,0,2,174.5200698,4,349.0401396,1808,157766.1431,0,0,64,5584.642234,40,3490.401396,12,1047.120419,28,2443.280977,68,5933.682373,18,1570.680628,578,50436.30017,4,349.0401396,18,1570.680628,290,25305.41012,16,1396.160558,1574,137347.2949,5074,442757.4171
244,Punjab,2007,26391,14146,12245,53601.60661,46398.39339,71586,271251.563,192,727.5207457,854,3235.95165,1786,6767.458603,4168,15793.26285,5232,19824.94032,5602,21226.93342,7162,27138.03948,136,515.3271949,658,2493.274222,1942,7358.569209,340,1288.317987,0,0,74,280.3986207,266,1007.919366,11326,42916.14566,0,0,96,363.7603729,1520,5759.539237,430,1629.343337,1090,4130.1959,1520,5759.539237,1038,3933.159031,6178,23409.49566,184,697.2073813,1038,3933.159031,2,7.578341101,276,1045.811072,10346,39202.75852,21034,79701.41336
245,Rajasthan,2007,63408,33062,30345,52141.68559,47856.73732,297740,469562.2004,1350,2129.068887,4954,7812.894272,3544,5589.200101,16516,26047.18647,10328,16288.16553,14192,22382.03381,23838,37594.62528,112,176.6338632,1650,2602.195307,16340,25769.61898,128,201.8672723,0,0,142,223.9465052,878,1384.683321,39440,62200.35327,0,0,56,88.31693162,4354,6866.641433,966,1523.46707,3388,5343.174363,2606,4109.891496,2476,3904.870048,22174,34970.35074,162,255.4882665,2476,3904.870048,3252,5128.690386,1556,2453.949029,38690,61017.53722,127692,201381.5291
246,Sikkim,2007,583,310,273,53173.24185,46826.75815,1334,228816.4666,2,343.0531732,26,4459.691252,28,4802.744425,22,3773.584906,166,28473.41338,68,11663.80789,68,11663.80789,6,1029.15952,14,2401.372213,14,2401.372213,6,1029.15952,0,0,0,0,0,0,190,32590.05146,0,0,0,0,18,3087.478559,0,0,18,3087.478559,18,3087.478559,48,8233.276158,214,36706.68954,0,0,48,8233.276158,30,5145.797599,12,2058.319039,236,40480.27444,384,65866.20926
247,Tamil Nadu,2007,65629,32971,32658,50238.46166,49761.53834,345508,526456.2922,1306,1989.973944,3080,4693.047281,4156,6332.566396,5802,8840.604001,7434,11327.30957,22970,34999.77144,5020,7649.057581,148,225.5100641,522,795.3800911,3952,6021.728199,56,85.32813238,0,0,176,268.1741303,416,633.8661263,33934,51705.80079,0,0,1750,2666.504137,2540,3870.24029,346,527.2059608,2194,3343.034329,3266,4976.458578,1046,1593.807616,20632,31437.32192,66,100.5652989,1046,1593.807616,4750,7237.654086,990,1508.479483,26434,40277.92592,221496,337497.143
248,Tripura,2007,3449,1767,1682,51232.24123,48767.75877,8546,247781.9658,46,1333.719919,488,14149.0287,116,3363.293708,110,3189.330241,386,11191.64975,406,11771.52798,170,4928.964917,20,579.8782256,84,2435.488547,1090,31603.36329,4,115.9756451,0,0,28,811.8295158,72,2087.561612,1092,31661.35112,0,0,8,231.9512902,226,6552.623949,64,1855.610322,162,4697.013627,276,8002.319513,314,9104.088141,712,20643.66483,4,115.9756451,314,9104.088141,284,8234.270803,128,3711.220644,822,23832.99507,2482,71962.88779
249,Uttar Pradesh,2007,186755,98421,88335,52700.59704,47299.93842,300516,160914.5672,536,287.0070413,5044,2700.864769,8848,4737.758025,21718,11629.13978,10114,5415.651522,15310,8197.906348,16798,8994.672164,674,360.9006452,7278,3897.084415,15300,8192.551739,3232,1730.609622,0,0,874,467.9928248,4152,2223.233648,21388,11452.43769,0,0,5764,3086.396616,8956,4795.587802,2230,1194.077802,6726,3601.51,10000,5354.60898,3296,1764.87912,23914,12805.01191,164,87.81558727,3296,1764.87912,8990,4813.793473,4338,2322.829375,45632,24434.1517,103828,55595.83411
250,Uttarakhand,2007,9365,4774,4591,50977.04218,49022.95782,19198,204997.3305,74,790.1761879,292,3117.992525,456,4869.193807,1130,12066.20395,1096,11703.15003,1216,12984.51682,1394,14885.21089,78,832.8884143,326,3481.04645,926,9887.880406,100,1067.805659,0,0,92,982.3812066,140,1494.927923,1772,18921.51628,0,0,126,1345.435131,506,5403.096636,52,555.2589429,454,4847.837694,536,5723.438334,234,2498.665243,2056,21954.08436,12,128.1366791,234,2498.665243,918,9802.455953,346,3694.607581,3186,34020.28831,5372,57362.52002
251,West Bengal,2007,86125,44394,41731,51546.00871,48453.99129,162204,188335.5588,242,280.9869376,4562,5296.952104,1754,2036.574746,4842,5622.060958,798,926.5602322,7606,8831.349782,4812,5587.227866,254,294.9201742,1344,1560.522496,19800,22989.84035,788,914.9492017,0,0,292,339.04209,902,1047.314949,13818,16044.12192,10,11.61103048,198,229.8984035,3600,4179.970972,420,487.6632801,3180,3692.307692,3304,3836.28447,4212,4890.566038,22652,26301.30624,2300,2670.53701,4212,4890.566038,7454,8654.862119,854,991.5820029,27494,31923.3672,55806,64796.51669
252,A&N Islands,2008,449,244,205,54342.98441,45657.01559,1764,392873.0512,30,6681.514477,48,10690.42316,22,4899.777283,22,4899.777283,156,34743.87528,8,1781.737194,38,8463.25167,2,445.4342984,24,5345.211581,52,11581.29176,4,890.8685969,0,0,0,0,4,890.8685969,214,47661.46993,0,0,6,1336.302895,34,7572.383073,8,1781.737194,26,5790.64588,16,3563.474388,24,5345.211581,234,52115.81292,0,0,24,5345.211581,32,7126.948775,28,6236.080178,256,57015.5902,766,170601.3363
253,Andhra Pradesh,2008,82375,41475,40900,50349.01366,49650.98634,358550,435265.5539,2042,2478.907436,9460,11484.06677,3884,4715.022762,14594,17716.54021,16664,20229.43854,25722,31225.49317,16786,20377.54173,758,920.1820941,1980,2403.641882,20612,25022.15478,330,400.6069803,0,0,220,267.0713202,1112,1349.924127,96334,116945.6753,0,0,7102,8621.5478,3940,4783.004552,1148,1393.626707,2792,3389.377845,5380,6531.107739,2514,3051.896813,36130,43860.39454,22,26.70713202,2514,3051.896813,3860,4685.887709,1246,1512.594841,50724,61576.93475,87858,106656.1457
254,Arunachal Pradesh,2008,1198,631,567,52671.11853,47328.88147,4748,396327.212,20,1669.449082,144,12020.03339,74,6176.961603,120,10016.69449,490,40901.5025,208,17362.27045,56,4674.457429,2,166.9449082,86,7178.631052,26,2170.283806,4,333.8898164,0,0,28,2337.228715,0,0,958,79966.61102,0,0,2,166.9449082,158,13188.64775,64,5342.237062,94,7846.410684,144,12020.03339,84,7011.686144,770,64273.78965,0,0,84,7011.686144,36,3005.008347,158,13188.64775,890,74290.48414,1180,98497.49583
255,Assam,2008,29435,15141,14294,51438.76338,48561.23662,106666,362378.1213,886,3010.022083,2544,8642.77221,834,2833.361644,4202,14275.52234,6294,21382.70766,4518,15349.07423,1992,6767.453712,182,618.3115339,1360,4620.349924,6956,23631.73093,142,482.4188891,0,0,624,2119.925259,206,699.8471208,12214,41494.81909,0,0,4,13.58926448,4478,15213.18159,900,3057.584508,3578,12155.59708,2852,9689.145575,2876,9770.681162,11822,40163.07117,148,502.8027858,2876,9770.681162,5200,17666.04383,1136,3859.351113,16024,54438.59351,35196,119571.9382
256,Bihar,2008,93633,48608,45025,51913.32116,48086.67884,245338,262020.8687,1544,1648.991274,1998,2133.863061,5908,6309.741224,5350,5713.797486,6828,7292.300791,9184,9808.507684,5482,5854.773424,138,147.3839352,2704,2887.870729,3984,4254.910128,772,824.4956372,0,0,1372,1465.295355,2420,2584.558863,33288,35551.56836,44,46.99197932,42,44.85598026,6094,6508.389136,2516,2687.086818,3578,3821.302319,6278,6704.90105,2604,2781.070776,21062,22494.2061,120,128.1599436,2604,2781.070776,16198,17299.45639,3184,3400.510504,26412,28208.00359,108740,116134.2689
257,Chandigarh,2008,1227,705,522,57457.21271,42542.78729,7862,640749.7963,4,325.99837,38,3096.984515,56,4563.97718,2188,178321.1084,514,41890.79055,22,1792.991035,426,34718.82641,0,0,74,6030.969845,98,7986.960065,12,977.99511,0,0,2,162.999185,6,488.997555,146,11898.94051,0,0,4,325.99837,100,8149.95925,16,1303.99348,84,6845.96577,34,2770.986145,40,3259.9837,1794,146210.2689,8,651.99674,40,3259.9837,170,13854.93073,46,3748.981255,3982,324531.3773,2080,169519.1524
258,Chhattisgarh,2008,23269,11682,11587,50204.13426,49795.86574,102884,442150.5007,604,2595.728222,3242,13932.70016,1472,6326.013151,4244,18238.85857,8224,35343.16043,5600,24066.35438,1124,4830.461129,142,610.253986,338,1452.576389,1794,7709.828527,36,154.7122781,0,0,248,1065.795694,212,911.0834157,17130,73617.25901,0,0,250,1074.39082,546,2346.469552,114,489.9222141,432,1856.547338,2338,10047.70295,1956,8406.033779,7914,34010.91581,34,146.1171516,1956,8406.033779,2288,9832.824788,1000,4297.563282,12158,52249.77438,42148,181133.6972
259,D&N Haveli,2008,299,172,127,57525.08361,42474.91639,802,268227.4247,12,4013.377926,8,2675.585284,4,1337.792642,36,12040.13378,98,32775.91973,20,6688.963211,48,16053.51171,2,668.8963211,20,6688.963211,8,2675.585284,0,0,0,0,2,668.8963211,0,0,52,17391.30435,0,0,0,0,34,11371.23746,12,4013.377926,22,7357.859532,18,6020.06689,12,4013.377926,72,24080.26756,0,0,12,4013.377926,48,16053.51171,0,0,108,36120.40134,308,103010.0334
260,Daman & Diu,2008,238,148,89,62184.87395,37394.95798,496,208403.3613,6,2521.008403,4,1680.672269,4,1680.672269,62,26050.42017,90,37815.12605,78,32773.10924,4,1680.672269,2,840.3361345,8,3361.344538,10,4201.680672,0,0,0,0,4,1680.672269,0,0,24,10084.03361,0,0,2,840.3361345,8,3361.344538,6,2521.008403,2,840.3361345,4,1680.672269,0,0,36,15126.05042,0,0,0,0,70,29411.76471,8,3361.344538,98,41176.47059,72,30252.10084
261,Delhi UT,2008,16955,9365,7590,55234.44412,44765.55588,98700,582129.1654,82,483.6331466,1222,7207.313477,778,4588.616927,22040,129991.1531,3852,22718.96196,1452,8563.845473,2986,17611.32409,82,483.6331466,710,4187.555293,2774,16360.95547,132,778.5314067,0,0,48,283.1023297,258,1521.675022,3872,22836.92126,0,0,260,1533.470953,3134,18484.22294,862,5084.046004,2272,13400.17694,1108,6534.945444,932,5496.903568,15694,92562.66588,268,1580.654674,932,5496.903568,142,837.5110587,1082,6381.598349,37734,222553.8189,35792,211099.9705
262,Goa,2008,1596,832,763,52130.32581,47807.01754,5484,343609.0226,54,3383.458647,64,4010.025063,50,3132.83208,476,29824.5614,604,37844.61153,460,28822.05514,210,13157.89474,44,2756.892231,94,5889.724311,24,1503.759398,22,1378.446115,0,0,6,375.9398496,4,250.6265664,370,23182.95739,0,0,24,1503.759398,72,4511.278195,16,1002.506266,56,3508.77193,98,6140.350877,60,3759.398496,726,45488.7218,0,0,60,3759.398496,204,12781.95489,46,2882.205514,1202,75313.28321,1772,111027.5689
263,Gujarat,2008,56626,29672,26954,52399.95762,47600.04238,247616,437283.2268,726,1282.096563,1656,2924.451665,974,1720.057924,19894,35132.27139,10106,17846.92544,9868,17426.62381,2334,4121.781514,380,671.0698266,2334,4121.781514,12188,21523.6817,70,123.6181259,0,0,512,904.1782927,54,95.3625543,21794,38487.62053,0,0,244,430.8974676,2646,4672.765161,408,720.517077,2238,3952.248084,2212,3906.33278,748,1320.947974,21536,38031.99943,28,49.44725038,748,1320.947974,3618,6389.291138,2644,4669.233214,41430,73164.27083,131050,231430.7915
264,Haryana,2008,24171,13046,11125,53973.77022,46026.22978,110688,457937.1975,278,1150.138596,870,3599.354598,1232,5097.017087,15348,63497.57974,8498,35157.83377,2646,10947.00261,2300,9515.535145,80,330.9751355,1526,6313.35071,4870,20148.11137,184,761.2428116,0,0,240,992.9254065,604,2498.862273,9008,37267.80026,0,0,1210,5005.998924,1708,7066.319143,420,1737.619461,1288,5328.699681,1842,7620.702495,1262,5221.132762,10070,41661.49518,514,2126.515246,1262,5221.132762,2368,9796.864011,1110,4592.280005,25418,105159.0749,42920,177568.1602
265,Himachal Pradesh,2008,6595,3364,3231,51008.33965,48991.66035,27952,423836.2396,254,3851.402578,590,8946.171342,118,1789.234268,664,10068.23351,1770,26838.51403,970,14708.11221,496,7520.849128,22,333.58605,274,4154.662623,686,10401.81956,10,151.6300227,0,0,12,181.9560273,6,90.97801365,2516,38150.11372,0,0,82,1243.366187,302,4579.226687,28,424.5640637,274,4154.662623,258,3912.054587,314,4761.182714,1640,24867.32373,0,0,314,4761.182714,1254,19014.40485,40,606.520091,2304,34935.55724,15674,237664.8976
266,India,2008,1144734,592451,552283,51754.46872,48245.53128,4186758,365740.6874,18498,1615.921253,80826,7060.679599,57196,4996.444589,240064,20971.16011,187484,16377.95331,184372,16106.09976,133158,11632.22198,5982,522.5668146,32974,2880.494508,162688,14211.86057,7726,674.9166182,0,0,9060,791.4502408,16344,1427.755269,569938,49787.81097,134,11.70577619,24428,2133.945528,60522,5286.992437,14644,1279.249153,45878,4007.743284,65532,5724.648696,42934,3750.565634,393458,34371.12901,6434,562.0519702,42934,3750.565634,132036,11534.20795,41044,3585.461775,633522,55342.28913,1713926,149722.643
267,Jammu & Kashmir,2008,11257,5912,5345,52518.43298,47481.56702,41208,366065.5592,460,4086.346273,1870,16611.88594,1140,10127.03207,1378,12241.2721,2694,23931.77578,586,5205.649818,784,6964.555388,46,408.6346273,174,1545.704895,324,2878.209114,62,550.7684108,0,0,6,53.30016878,42,373.1011815,546,4850.315359,0,0,592,5258.949987,1408,12507.77294,96,852.8027005,1312,11654.97024,474,4210.713334,438,3890.912321,3018,26809.9849,0,0,438,3890.912321,3564,31660.30026,134,1190.370436,4396,39051.257,21468,190708.0039
268,Jharkhand,2008,30181,15539,14642,51486.03426,48513.96574,77372,256359.9616,328,1086.776449,542,1795.831815,2122,7030.913489,4330,14346.77446,2750,9111.692787,2620,8680.958219,1800,5964.017097,48,159.0404559,538,1782.578443,1702,5639.309499,224,742.1887943,0,0,832,2756.701236,532,1762.698386,5652,18727.01368,78,258.4407409,46,152.4137703,1584,5248.335045,586,1941.618899,998,3306.716146,3394,11245.48557,1582,5241.70836,10208,33822.60362,100,331.3342832,1582,5241.70836,5152,17070.34227,1522,5042.90779,14538,48169.37809,29686,98359.8953
269,Karnataka,2008,57550,29212,28338,50759.3397,49240.6603,255080,443231.9722,530,920.9383145,3908,6790.616855,2950,5125.977411,17920,31138.14075,12516,21748.04518,1144,1987.836664,7338,12750.65161,236,410.0781929,848,1473.501303,5276,9167.680278,162,281.4943527,0,0,540,938.3145091,518,900.086881,38318,66582.10252,2,3.475238923,88,152.9105126,1516,2634.231103,706,1226.75934,810,1407.471764,3396,5900.955691,892,1549.95656,17720,30790.61685,496,861.8592528,892,1549.95656,12026,20896.61164,3230,5612.51086,35640,61928.7576,123510,214613.3797
270,Kerala,2008,33802,16466,17336,48713.0939,51286.9061,221240,654517.4842,778,2301.638956,5490,16241.64251,868,2567.895391,3962,11721.19993,7764,22969.05509,74,218.9219573,7318,21649.60653,92,272.1732442,870,2573.8122,8276,24483.75836,190,562.0969173,0,0,182,538.4296787,62,183.4210993,38356,113472.5756,0,0,516,1526.536891,506,1496.952843,174,514.7624401,332,982.1904029,724,2141.885096,1136,3360.747885,7674,22702.79865,534,1579.788178,1136,3360.747885,16114,47671.7354,1632,4828.116679,11636,34423.99858,118122,349452.6951
271,Lakshadweep,2008,74,37,37,50000,50000,190,256756.7568,4,5405.405405,0,0,0,0,2,2702.702703,6,8108.108108,0,0,0,0,0,0,0,0,2,2702.702703,0,0,0,0,0,0,0,0,24,32432.43243,0,0,0,0,2,2702.702703,0,0,2,2702.702703,2,2702.702703,4,5405.405405,14,18918.91892,0,0,4,5405.405405,24,32432.43243,0,0,16,21621.62162,106,143243.2432
272,Madhya Pradesh,2008,68737,35851,32886,52156.77146,47843.22854,413112,601003.8262,1796,2612.857704,12890,18752.63686,4564,6639.800981,21066,30647.24966,22144,32215.54621,12016,17481.1237,2736,3980.389019,94,136.7531315,1140,1658.495425,6370,9267.20689,408,593.5667835,0,0,320,465.5425753,1610,2342.261082,72688,105747.996,0,0,1516,2205.507951,1858,2703.056578,386,561.5607315,1472,2141.495846,4644,6756.186624,5874,8545.615898,28100,40880.4574,248,360.7954959,5874,8545.615898,5536,8053.886553,4468,6500.138208,49166,71527.70706,201026,292456.7555
273,Maharashtra,2008,107972,56321,51651,52162.59771,47837.40229,412486,382030.5264,2576,2385.803727,7238,6703.58982,3674,3402.734042,33800,31304.41226,32008,29644.72271,24944,23102.28578,14592,13514.6149,810,750.1944949,3760,3482.384322,15658,14501.9079,222,205.6088616,0,0,1622,1502.241322,780,722.4095136,59484,55092.0609,0,0,2182,2020.894306,2758,2554.365947,762,705.7385248,1996,1848.627422,5590,5177.268181,3116,2885.93339,71920,66609.86182,548,507.5389916,3116,2885.93339,18776,17389.69362,6062,5614.418553,105720,97914.27407,100366,92955.58108
