Sl No,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
21,Maharashtra,2001,96879,50401,46478,52024.69059,47975.30941,342466,353498.6942,2416,2493.832513,5646,5827.888397,2908,3001.682511,17746,18317.69527,30146,31117.16678,17986,18565.42698,8546,8821.313184,530,547.0741853,3084,3183.352429,12180,12572.38411,202,208.5075197,0,0,1058,1092.08394,616,635.8447135,60424,62370.58599,2,2.064430888,2240,2312.162595,1970,2033.464425,748,772.0971521,1222,1261.367273,5678,5860.919291,2604,2687.889016,61986,63982.90651,656,677.1333313,2604,2687.889016,13438,13870.91114,4478,4622.260758,79732,82300.60178,85926,88694.14424
22,Manipur,2001,2167,1096,1071,50576.83433,49423.16567,4978,229718.5048,128,5906.783572,42,1938.163359,336,15505.30688,142,6552.838025,150,6922.011998,14,646.0544532,132,6091.370558,40,1845.869866,66,3045.685279,10,461.4674665,10,461.4674665,0,0,40,1845.869866,0,0,402,18550.99216,0,0,0,0,188,8675.588371,64,2953.391786,124,5722.196585,418,19289.3401,40,1845.869866,292,13474.85002,34,1568.989386,40,1845.869866,262,12090.44762,38,1753.576373,434,20027.68805,2194,101245.9622
23,Meghalaya,2001,2319,1176,1143,50711.51358,49288.48642,3374,145493.7473,52,2242.345839,50,2156.101768,94,4053.471324,32,1379.905132,340,14661.49202,0,0,58,2501.078051,6,258.7322122,38,1638.637344,8,344.9762829,4,172.4881414,0,0,194,8365.67486,0,0,204,8796.895213,0,0,0,0,110,4743.42389,88,3794.739112,22,948.6847779,328,14144.0276,52,2242.345839,510,21992.23803,6,258.7322122,52,2242.345839,16,689.9525658,250,10780.50884,542,23372.14317,1022,44070.72014
24,Mizoram,2001,889,459,429,51631.04612,48256.46794,4492,505286.8391,48,5399.325084,104,11698.53768,30,3374.578178,34,3824.521935,834,93813.27334,46,5174.353206,142,15973.00337,24,2699.662542,46,5174.353206,32,3599.550056,10,1124.859393,0,0,6,674.9156355,0,0,188,21147.35658,6,674.9156355,0,0,4,449.943757,2,224.9718785,2,224.9718785,62,6974.128234,104,11698.53768,1722,193700.7874,0,0,104,11698.53768,6,674.9156355,46,5174.353206,1756,197525.3093,998,112260.9674
25,Nagaland,2001,1990,1047,943,52613.06533,47386.93467,2468,124020.1005,2,100.5025126,12,603.0150754,78,3919.59799,178,8944.723618,326,16381.90955,38,1909.547739,68,3417.085427,4,201.0050251,40,2010.050251,0,0,18,904.5226131,0,0,22,1105.527638,0,0,74,3718.592965,0,0,0,0,46,2311.557789,34,1708.542714,12,603.0150754,202,10150.75377,34,1708.542714,338,16984.92462,0,0,34,1708.542714,4,201.0050251,258,12964.82412,516,25929.64824,726,36482.41206
26,Odisha,2001,36805,18661,18144,50702.35022,49297.64978,93322,253557.9405,846,2298.600734,3310,8993.343296,2302,6254.584975,1634,4439.614183,6186,16807.49898,3178,8634.696373,1362,3700.58416,20,54.34044287,570,1548.702622,2532,6879.500068,106,288.0043472,0,0,398,1081.374813,588,1597.609021,8734,23730.4714,0,0,916,2488.792284,1044,2836.571118,176,478.1958973,868,2358.375221,1974,5363.401712,1580,4292.894987,9610,26110.5828,44,119.5489743,1580,4292.894987,2852,7748.947154,1916,5205.814427,11244,30550.19698,41620,113082.4616
27,Puducherry,2001,974,487,487,50000,50000,8136,835318.2752,62,6365.50308,70,7186.858316,64,6570.841889,568,58316.22177,222,22792.6078,332,34086.2423,46,4722.792608,6,616.0164271,10,1026.694045,6,616.0164271,2,205.338809,0,0,2,205.338809,2,205.338809,1270,130390.1437,0,0,54,5544.147844,8,821.3552361,2,205.338809,6,616.0164271,50,5133.470226,18,1848.049281,488,50102.6694,0,0,18,1848.049281,200,20533.8809,8,821.3552361,1056,108418.8912,4648,477207.3922
28,Punjab,2001,24359,12985,11374,53306.78599,46693.21401,55548,228038.9179,126,517.2626134,744,3054.312574,1578,6478.098444,2408,9885.463278,3804,15616.40461,4308,17685.45507,5242,21519.76682,116,476.210025,736,3021.470504,2256,9261.463935,160,656.8414139,0,0,90,369.4732953,318,1305.47231,7992,32809.22862,0,0,94,385.8943306,1026,4211.995566,378,1551.78784,648,2660.207726,1476,6059.362043,596,2446.734267,3638,14934.93165,168,689.6834845,596,2446.734267,2,8.210517673,262,1075.577815,6046,24820.39493,18408,75569.60466
29,Rajasthan,2001,56507,29420,27087,52064.34601,47935.65399,310370,549259.3838,2184,3865.007875,5756,10186.34859,3846,6806.236395,8648,15304.29858,14568,25780.87671,8442,14939.74198,13288,23515.67062,178,315.0052206,2052,3631.408498,11064,19579.87506,126,222.9812236,0,0,120,212.3630701,752,1330.808572,54970,97279.98301,2,3.539384501,112,198.2055321,5436,9620.047074,1106,1957.279629,4330,7662.767445,2518,4456.085087,2098,3712.814342,25230,44649.33548,80,141.57538,2098,3712.814342,22428,39690.65779,1778,3146.512821,33878,59953.63406,124694,220670.0055
30,Sikkim,2001,541,288,252,53234.75046,46580.40665,888,164140.4806,2,369.6857671,0,0,22,4066.543438,12,2218.114603,152,28096.1183,14,2587.80037,26,4805.914972,0,0,2,369.6857671,0,0,14,2587.80037,0,0,0,0,0,0,70,12939.00185,0,0,28,5175.600739,12,2218.114603,8,1478.743068,4,739.3715342,38,7024.029575,16,2957.486137,136,25138.63216,0,0,16,2957.486137,6,1109.057301,6,1109.057301,148,27356.74677,332,61367.83734
